Lap 44: Rain 100% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '28.61' Kg, PitStop 'No', Time '01:31.276' ms
Lap 45: Rain 50% -> Compound 'Wet', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '27.67' Kg, PitStop 'No', Time '01:31.234' ms
Lap 46: Rain 45% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '26.72' Kg, PitStop 'Yes', Time '01:53.148' ms
Lap 47: Rain 40% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '25.78' Kg, PitStop 'No', Time '01:28.114' ms
Lap 48: Rain 35% -> Compound 'Inter', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '24.83' Kg, PitStop 'No', Time '01:28.080' ms
Lap 49: Rain 30% -> Compound 'Inter', TyresAge 3, Wear '3.0'% | '3.0'% | '3.0'% | '3.0'%, Fuel '23.89' Kg, PitStop 'No', Time '01:28.046' ms
Lap 50: Rain 25% -> Compound 'Inter', TyresAge 4, Wear '4.0'% | '4.0'% | '4.0'% | '4.0'%, Fuel '22.0' Kg, PitStop 'No', Time '01:27.954' ms
Lap 51: Rain 20% -> Compound 'Inter', TyresAge 5, Wear '5.0'% | '5.0'% | '5.0'% | '5.0'%, Fuel '20.11' Kg, PitStop 'No', Time '01:27.920' ms
Lap 52: Rain 15% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '18.22' Kg, PitStop 'Yes', Time '01:46.640' ms
Lap 53: Rain 10% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '16.33' Kg, PitStop 'No', Time '01:21.634' ms
[EA] Generation 3 - Bruteforce solution: 01:14:51.116 -> best overall: 01:25:04.175 - best of generation: 01:25:04.175 - population size ratio 436.0% | threshold is 0.3 - counter = 0/5 - stuck value = 0
Lap 1: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '70.42' Kg, PitStop 'No', Time '01:28.526' ms
Lap 2: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '68.53' Kg, PitStop 'Yes', Time '01:49.904' ms
Lap 3: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '66.64' Kg, PitStop 'Yes', Time '01:50.392' ms
Lap 4: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '64.75' Kg, PitStop 'Yes', Time '01:50.278' ms
Lap 5: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '62.86' Kg, PitStop 'No', Time '01:25.210' ms
Lap 6: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '60.97' Kg, PitStop 'No', Time '01:25.144' ms
Lap 7: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '3.0'% | '3.0'% | '3.0'% | '2.0'%, Fuel '59.08' Kg, PitStop 'No', Time '01:25.064' ms
Lap 8: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '57.2' Kg, PitStop 'No', Time '01:25.008' ms
Lap 9: Rain 0% -> Compound 'Medium', TyresAge 5, Wear '6.0'% | '6.0'% | '5.0'% | '4.0'%, Fuel '55.31' Kg, PitStop 'No', Time '01:24.952' ms
Lap 10: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '53.42' Kg, PitStop 'Yes', Time '01:48.998' ms
Lap 11: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '51.53' Kg, PitStop 'Yes', Time '01:48.884' ms
Lap 12: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '49.64' Kg, PitStop 'No', Time '01:23.880' ms
